"Start Time","Track","Series","Hosted Session Name"
"2020.02.12 7:30 PM GMT","Okayama International Circuit - Full Course","Hosted iRacing","DynamiXX Simracersworld GT PRO Series"



"League Name","League ID","League Season","League Season ID","Points System"
"DynamiXX Simracersworld? GT PRO Series","2923","Season 6","48937","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"34","73","Audi R8 LMS","0","Hosted All Cars Class","107823","107823","Dion Phillips","9","55","32","Disconnected","-13 L","0","","1:27.412","1:26.697","6","22","3","0","100","0"
"35","94","Ferrari 488 GT3","0","Hosted All Cars Class","409828","409828","Jarno D'Hauw","3","320","32","Disconnected","-19 L","0","","1:29.779","1:27.104","10","16","18","0","100","0"
"36","55","BMW Z4 GT3","0","Hosted All Cars Class","92059","92059","Kevin Bolland","44","350","32","Disconnected","-20 L","0","","1:30.846","1:27.688","4","15","13","0","100","0"
"37","72","Mercedes AMG GT3","0","Hosted All Cars Class","210512","210512","Lee Deamer","37","299","32","Disconnected","-22 L","0","","1:30.276","1:27.879","9","13","12","0","100","0"
"38","72","Mercedes AMG GT3","0","Hosted All Cars Class","365734","365734","Oli Slade","16","250","32","Disconnected","-24 L","0","","1:31.518","1:28.697","4","11","8","0","100","0"
"39","72","Mercedes AMG GT3","0","Hosted All Cars Class","92937","92937","Ryan D Walker","31","266","32","Disconnected","-26 L","0","","1:31.847","1:28.188","8","9","9","0","100","0"
"40","72","Mercedes AMG GT3","0","Hosted All Cars Class","245605","245605","Lee Woodburn","35","375","32","Disconnected","-29 L","0","","1:32.755","1:28.322","4","6","9","0","100","0"
"41","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","328174","328174","Tom Metherell","32","17","32","Disconnected","-29 L","0","","1:32.919","1:28.698","3","6","6","0","100","0"
"42","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","262548","262548","Stijn Vanbuel","17","47","32","Disconnected","-33 L","0","","1:33.341","1:28.578","2","2","8","0","100","0"
"43","72","Mercedes AMG GT3","0","Hosted All Cars Class","257388","257388","Anton Dupan","42","777","0","Running","-35 L","0","","00.000","","","0","0","0","100","0"
"44","72","Mercedes AMG GT3","0","Hosted All Cars Class","286046","286046","Sebastian Heberer","43","555","0","Running","-35 L","0","","00.000","","","0","0","0","100","0"
"45","72","Mercedes AMG GT3","0","Hosted All Cars Class","158121","158121","Peter Grouwels","45","999","32","Disconnected","-35 L","0","","00.000","","","0","0","0","100","0"
"46","73","Audi R8 LMS","0","Hosted All Cars Class","49286","49286","Jochen Lenaerts","46","369","32","Disconnected","-35 L","0","","00.000","","","0","0","0","100","0"
