"Start Time","Track","Series","Hosted Session Name"
"2020.02.19 6:30 PM GMT","Daytona International Speedway - Road Course","Hosted iRacing","DynamiXX Simracersworld GT PRO Series"



"League Name","League ID","League Season","League Season ID","Points System"
"DynamiXX Simracersworld? GT PRO Series","2923","Season 6","48937","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"33","72","Mercedes AMG GT3","0","Hosted All Cars Class","211116","211116","Ronald Moons2","0","296","0","Running","-01.685","0","1:43.615","1:46.749","1:43.615","8","9","0","","100","0"
"34","72","Mercedes AMG GT3","0","Hosted All Cars Class","359902","359902","Matthias Temme","0","77","0","Running","-01.758","0","1:43.687","1:45.435","1:43.687","1","8","1","","100","0"
"35","72","Mercedes AMG GT3","0","Hosted All Cars Class","219226","219226","Ian A Roots","0","246","0","Running","-01.776","0","1:43.706","1:49.223","1:43.706","3","3","0","","100","0"
"36","72","Mercedes AMG GT3","0","Hosted All Cars Class","406174","406174","Kevin De Winter","0","331","0","Running","-01.793","0","1:43.723","1:43.897","1:43.723","4","5","3","","100","0"
"37","72","Mercedes AMG GT3","0","Hosted All Cars Class","344252","344252","James Hobden","0","346","0","Running","-01.881","0","1:43.811","1:46.127","1:43.811","11","11","3","","100","0"
"38","72","Mercedes AMG GT3","0","Hosted All Cars Class","228111","228111","John Mcconville","0","223","0","Running","-01.896","0","1:43.826","1:49.570","1:43.826","2","8","4","","100","0"
"39","72","Mercedes AMG GT3","0","Hosted All Cars Class","210512","210512","Lee Deamer","0","299","0","Running","-01.931","0","1:43.860","1:53.338","1:43.860","3","4","0","","100","0"
"40","72","Mercedes AMG GT3","0","Hosted All Cars Class","209160","209160","Stuart Musselwhite","0","318","0","Running","-01.980","0","1:43.910","1:44.279","1:43.910","5","6","2","","100","0"
"41","72","Mercedes AMG GT3","0","Hosted All Cars Class","92937","92937","Ryan D Walker","0","266","0","Running","-02.043","0","1:43.973","1:44.000","1:43.973","1","5","5","","100","0"
"42","72","Mercedes AMG GT3","0","Hosted All Cars Class","317848","317848","Kim Beheyt","0","280","0","Running","-02.055","0","1:43.985","1:44.129","1:43.985","5","6","4","","100","0"
"43","72","Mercedes AMG GT3","0","Hosted All Cars Class","245605","245605","Lee Woodburn","0","375","0","Running","-02.191","0","1:44.121","1:48.531","1:44.121","1","5","1","","100","0"
"44","72","Mercedes AMG GT3","0","Hosted All Cars Class","308617","308617","Steven Kastrop","0","313","0","Running","-02.218","0","1:44.148","1:44.528","1:44.148","7","9","3","","100","0"
"45","55","BMW Z4 GT3","0","Hosted All Cars Class","222068","222068","Steven Dewulf","0","276","0","Running","-02.284","0","1:44.214","1:44.522","1:44.214","5","9","8","","100","0"
"46","55","BMW Z4 GT3","0","Hosted All Cars Class","317758","317758","Thijs Vanden Berghe","0","315","0","Running","-02.569","0","1:44.499","1:46.872","1:44.499","4","10","5","","100","0"
"47","72","Mercedes AMG GT3","0","Hosted All Cars Class","165699","165699","Bart Daelman","0","888","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
"48","72","Mercedes AMG GT3","0","Hosted All Cars Class","286046","286046","Sebastian Heberer","0","555","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
"49","55","BMW Z4 GT3","0","Hosted All Cars Class","92059","92059","Kevin Bolland","0","350","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
"50","73","Audi R8 LMS","0","Hosted All Cars Class","49286","49286","Jochen Lenaerts","0","369","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
