"Start Time","Track","Series","Hosted Session Name"
"2020.02.19 6:30 PM GMT","Daytona International Speedway - Road Course","Hosted iRacing","DynamiXX Simracersworld GT PRO Series"



"League Name","League ID","League Season","League Season ID","Points System"
"DynamiXX Simracersworld? GT PRO Series","2923","Season 6","48937","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"34","73","Audi R8 LMS","0","Hosted All Cars Class","366839","366839","Caleb John Lavender","29","210","32","Disconnected","-27 L","0","","1:48.525","1:43.792","7","8","6","0","100","0"
"35","94","Ferrari 488 GT3","0","Hosted All Cars Class","357198","357198","Craig Jones7","27","370","32","Disconnected","-28 L","0","","1:48.815","1:45.309","3","7","9","0","100","0"
"36","72","Mercedes AMG GT3","0","Hosted All Cars Class","245605","245605","Lee Woodburn","43","375","32","Disconnected","-28 L","0","","1:53.590","1:44.459","4","7","10","0","100","0"
"37","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","335074","335074","PJ Claeysens","1","27","32","Disconnected","-30 L","2","","1:45.145","1:42.852","4","5","6","0","100","0"
"38","72","Mercedes AMG GT3","0","Hosted All Cars Class","359902","359902","Matthias Temme","34","77","32","Disconnected","-30 L","0","","1:49.253","1:44.043","4","5","10","0","100","0"
"39","72","Mercedes AMG GT3","0","Hosted All Cars Class","92937","92937","Ryan D Walker","41","266","32","Disconnected","-31 L","0","","1:53.989","1:46.403","4","4","9","0","100","0"
"40","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","41698","41698","Steven Van Opstal","15","49","32","Disconnected","-31 L","0","","1:54.009","1:45.372","2","4","8","0","100","0"
"41","72","Mercedes AMG GT3","0","Hosted All Cars Class","211116","211116","Ronald Moons2","33","296","32","Disconnected","-32 L","0","","1:54.036","1:45.555","2","3","4","0","100","0"
"42","72","Mercedes AMG GT3","0","Hosted All Cars Class","254157","254157","Chris Moretta","17","88","32","Disconnected","-33 L","0","","1:51.156","1:44.736","2","2","5","0","100","0"
"43","73","Audi R8 LMS","0","Hosted All Cars Class","107823","107823","Dion Phillips","6","55","32","Disconnected","-33 L","0","","1:51.888","","","2","5","0","100","0"
"44","59","Ford GT GT3","0","Hosted All Cars Class","141923","141923","Maarten van Loozenoord","3","1","32","Disconnected","-34 L","0","","00.000","","","1","4","0","100","0"
"45","72","Mercedes AMG GT3","0","Hosted All Cars Class","178201","178201","Adam J Murray","25","31","32","Disconnected","-34 L","0","","00.000","","","1","4","0","100","0"
"46","72","Mercedes AMG GT3","0","Hosted All Cars Class","155689","155689","Daniel McAuley","30","40","32","Disconnected","-35 L","0","","00.000","","","0","4","0","100","0"
"47","72","Mercedes AMG GT3","0","Hosted All Cars Class","219226","219226","Ian A Roots","35","246","32","Disconnected","-35 L","0","","00.000","","","0","7","0","100","0"
"48","72","Mercedes AMG GT3","0","Hosted All Cars Class","165699","165699","Bart Daelman","47","888","0","Running","-35 L","0","","00.000","","","0","0","0","100","0"
"49","72","Mercedes AMG GT3","0","Hosted All Cars Class","286046","286046","Sebastian Heberer","48","555","0","Running","-35 L","0","","00.000","","","0","0","0","100","0"
"50","73","Audi R8 LMS","0","Hosted All Cars Class","49286","49286","Jochen Lenaerts","50","369","32","Disconnected","-35 L","0","","00.000","","","0","0","0","100","0"
